ZCRm,Energym,EnergyEntropym,SpectralCentroidm,SpectralEntropym,MFCCs1m,MFCCs2m,ChromaVector1m,ChromaDeviationm,EnergyEntropystd,SpectralCentroidstd,SpectralSpreadstd,SpectralEntropystd,SpectralFluxstd,SpectralRolloffstd,MFCCs1std,ChromaVector1std,BPM,class
0.13286218,0.088731277,3.166115604,0.261754677,1.166213769,-22.42336391,1.364002349,0.014360158,0.038146887,0.136662283,0.041154684,0.01642124,0.41926738,0.004284412,0.115323152,0.891809731,0.01460011,131,BigRoom
0.153303523,0.117200728,3.158285601,0.286179165,1.21759224,-21.88076866,1.577993269,0.017497298,0.034288216,0.169013719,0.039323992,0.010888889,0.483642721,0.004008751,0.153206105,0.916760711,0.016786864,129,BigRoom
0.1180016,0.123379144,3.167454572,0.251672033,1.064096162,-22.18243805,1.174132012,0.010290919,0.042094787,0.096685938,0.042007276,0.020074532,0.440857052,0.007083219,0.117477865,1.019422035,0.012470647,129,BigRoom
0.110992494,0.106581076,3.174331934,0.242357059,0.970029241,-22.07688204,1.630701027,0.009927558,0.0406277,0.113851035,0.060860548,0.023833548,0.552896814,0.008190666,0.159526391,0.956616482,0.011623295,125,BigRoom
0.124299778,0.135644783,3.169635571,0.291225696,1.049890574,-22.04886223,1.329815498,0.005468511,0.059892182,0.099325963,0.041597913,0.016944112,0.401411407,0.006561224,0.13488954,0.800155152,0.005439366,131,BigRoom
0.142831912,0.11373036,3.208252488,0.270393024,1.23039616,-21.32236607,1.475496871,0.011990399,0.030629855,0.072806632,0.048752432,0.018240828,0.405379218,0.003113343,0.158488111,0.659616515,0.008875801,127,BigRoom
0.129190308,0.089376027,3.197639823,0.243737737,1.18655383,-22.22624797,1.356804142,0.011906304,0.037714736,0.08172473,0.039488722,0.017658239,0.468612238,0.007382551,0.114360506,0.65734886,0.009946916,129,BigRoom
0.177948407,0.159894983,3.224656247,0.309907934,1.626833726,-21.00943127,1.030803298,0.019075853,0.036849939,0.070967069,0.026334129,0.009829937,0.391963804,0.00422943,0.111719011,0.682472339,0.014786423,131,BigRoom
0.103571258,0.160043528,3.174592933,0.267631072,0.983735318,-22.12562818,1.194033874,0.008119434,0.065027055,0.082922794,0.040560677,0.021216197,0.340342536,0.006693105,0.11277053,0.842987283,0.008135579,129,BigRoom
0.127565869,0.111772085,3.200904177,0.254501093,1.111468799,-21.56130357,1.564351326,0.014915851,0.034814213,0.096577661,0.041080707,0.017698168,0.431646935,0.004018686,0.125098232,0.548873612,0.0129944,129,BigRoom
0.099242565,0.105459811,3.072274979,0.23206498,0.807597193,-22.81121364,1.804895248,0.008512943,0.045960323,0.204850543,0.046187583,0.021209129,0.381042149,0.005979574,0.086082034,1.393373104,0.007931582,129,BigRoom
0.096191315,0.116001404,3.169905544,0.231874619,0.968227259,-22.54682304,0.899910518,0.006260991,0.046043379,0.119067442,0.036207383,0.020495919,0.303138487,0.003518612,0.074517749,0.778061678,0.006082859,129,BigRoom
0.1315128,0.102721014,3.187074092,0.255816606,1.21367616,-21.79804357,1.362549366,0.007939418,0.035451551,0.115760364,0.042528836,0.022215827,0.404517977,0.005839177,0.108206908,0.639710633,0.007320639,126,BigRoom
0.1247612,0.139047018,3.229241151,0.259196848,1.16409037,-21.52894539,1.097216143,0.007905475,0.047272281,0.073323331,0.035118553,0.015876636,0.367891465,0.004912888,0.100166136,0.767411577,0.007456258,129,BigRoom
0.120225109,0.077852091,3.14643055,0.256141421,1.079178763,-22.45549151,1.247928809,0.014158758,0.04128999,0.136678993,0.039599554,0.016487565,0.425942523,0.007579182,0.106675947,1.097803982,0.01480959,129,BigRoom
0.122405972,0.179541138,3.213334716,0.263733155,1.050125211,-20.89289296,1.563737245,0.014039714,0.041455686,0.071895812,0.040693922,0.014984316,0.442518414,0.004758124,0.137593119,0.668191386,0.013350491,129,BigRoom
0.138079986,0.161922302,3.218822921,0.266549945,1.339150749,-20.93713841,0.884773751,0.012529482,0.03365085,0.104907729,0.038692602,0.017141735,0.475042024,0.0050106,0.127826105,0.865571087,0.01290251,129,BigRoom
0.134796681,0.126229627,3.177988826,0.270132208,1.177253852,-21.84671089,1.398327962,0.011949948,0.042999347,0.078572644,0.032396119,0.01331627,0.33606485,0.00445829,0.095882733,0.731911558,0.010320248,129,BigRoom
0.147115412,0.071976973,3.156675706,0.272471037,1.326277836,-22.97963694,0.928925297,0.006563544,0.035121417,0.165939701,0.053984467,0.025484132,0.487533558,0.005581617,0.155743235,1.142186082,0.006560347,129,BigRoom
0.184309927,0.12612142,3.165854037,0.303826229,1.639034453,-20.98593081,1.152492653,0.010127539,0.026624986,0.136270526,0.05141313,0.018015059,0.507477065,0.003893074,0.178152996,0.762702263,0.006796992,129,BigRoom
0.146845946,0.160768098,3.18530002,0.276716775,1.361854207,-21.26390682,0.908634525,0.015071334,0.045650763,0.093245279,0.040519393,0.01877346,0.340893192,0.003216327,0.104585883,0.767164773,0.012611453,131,BigRoom
0.151050244,0.169876953,3.093410031,0.280551495,1.301081385,-21.49931184,1.091389309,0.008498438,0.038704086,0.244790407,0.047222893,0.016566561,0.513708317,0.004382623,0.148626793,1.470277317,0.009097876,129,BigRoom
0.132808629,0.172474693,3.141865037,0.264792293,1.179370097,-21.26931416,1.335381575,0.014219917,0.041536026,0.206442075,0.046183361,0.015653386,0.490362534,0.007574569,0.140744795,1.236510073,0.011414925,129,BigRoom
0.138286887,0.132769571,3.173424341,0.283476311,1.208488056,-21.87844055,1.250204472,0.007976739,0.051480022,0.077581555,0.039658697,0.015818176,0.387774269,0.004461979,0.121672782,0.764535183,0.008484588,129,BigRoom
0.117848648,0.176569056,3.181492444,0.24587946,1.116787161,-21.413009,1.093108008,0.010901199,0.048804052,0.097539887,0.035485961,0.018059711,0.35698183,0.007225558,0.089741163,0.834157696,0.009308013,129,BigRoom
0.154519514,0.102254062,3.213493817,0.275844677,1.438538056,-21.59364209,1.023773111,0.007377146,0.03303527,0.094045535,0.037739085,0.017598372,0.428402246,0.004731643,0.123133477,0.763145733,0.007083716,126,BigRoom
0.090465939,0.15800107,3.178685222,0.239067965,0.836106976,-21.94622851,1.467246835,0.005089843,0.056661894,0.093548581,0.038654968,0.020927878,0.338824173,0.007148088,0.091586951,0.873107467,0.005757775,129,BigRoom
0.113504613,0.130919262,3.214384911,0.225059548,1.046723331,-21.5475291,1.520299914,0.011730813,0.031146615,0.072734311,0.037405996,0.018733309,0.380719777,0.005763294,0.094168469,0.695651898,0.009222587,129,BigRoom
0.131300287,0.120137722,3.192371096,0.278341325,1.152028542,-22.02183982,1.370027351,0.011129247,0.044215724,0.09357795,0.037835015,0.018575108,0.425683036,0.005376032,0.130074997,0.830676593,0.009996978,129,BigRoom
